序号,学校名称,学校标识码,主管部门,备注
84,四平农村成人高等专科学校,4222050249,吉林省,
85,吉林省教育学院,4222050252,吉林省,
86,长春教育学院,4222050253,吉林省,
87,吉林广播电视大学,4222051230,吉林省,
88,吉林省经济管理干部学院,4222051243,吉林省,
89,吉林职工医科大学,4222051704,吉林省,
90,长春广播电视大学,4222051887,吉林省,
91,黑龙江兵器工业职工大学,4223050264,黑龙江省,
92,哈尔滨航空职工大学,4223050266,黑龙江省,
93,哈尔滨轻型车厂职工大学,4223050268,黑龙江省,
94,哈尔滨市职工大学,4223050269,黑龙江省,
95,黑龙江省电力职工大学,4223050293,黑龙江省,
96,齐齐哈尔市建设职工大学,4223050306,黑龙江省,
97,齐齐哈尔市职工大学,4223050311,黑龙江省,
98,鹤岗矿务局职工大学,4223050327,黑龙江省,
99,大庆石油化工总厂职工大学,4223050330,黑龙江省,
100,黑龙江农垦管理干部学院,4223050337,黑龙江省,
101,黑龙江省经济管理干部学院,4223050335,黑龙江省,
102,黑龙江省政法管理干部学院,4223050343,黑龙江省,
103,黑龙江省教育学院,4223050344,黑龙江省,
104,绥化市教育学院,4223050349,黑龙江省,
105,牡丹江市教育学院,4223050350,黑龙江省,
106,佳木斯市教育学院,4223050351,黑龙江省,
107,黑龙江省广播电视大学,4223051244,黑龙江省,
108,黑龙江省商业职工大学,4223051744,黑龙江省,
109,黑龙江省社会科学院职工大学,4223051745,黑龙江省,
110,哈尔滨市职工医学院,4223051746,黑龙江省,
111,哈尔滨市广播电视大学,4223051876,黑龙江省,
112,上海科技管理干部学院,4231050033,上海市,
113,上海市黄浦区业余大学,4231050363,上海市,
114,上海市徐汇区业余大学,4231050366,上海市,
115,上海市长宁区业余大学,4231050367,上海市,
116,上海市静安区业余大学,4231050368,上海市,
117,上海市普陀区业余大学,4231050369,上海市,
118,上海市虹口区业余大学,4231050371,上海市,
119,上海市杨浦区业余大学,4231050372,上海市,
120,上海纺织工业职工大学,4231050393,上海市,
121,上海医药职工大学,4231050424,上海市,
122,上海开放大学,4231051252,上海市,
123,上海市经济管理干部学院,4231051613,上海市,
124,上海青年管理干部学院,4231051615,上海市,
125,上海市宝山区业余大学,4231051852,上海市,
126,南京市职工大学,4232050460,江苏省,
127,空军第一职工大学,4232050461,空军装备部,
128,南通市工人业余大学,4232050504,江苏省,
129,扬州教育学院,4232050526,江苏省,
130,江苏开放大学,4232051255,江苏省,
131,江苏省省级机关管理干部学院,4232051257,江苏省,
132,南京市广播电视大学,4232051396,江苏省,
133,江苏省青年管理干部学院,4232051828,江苏省,
134,浙江省省级机关职工业余大学,4233050550,浙江省,
135,杭州市工人业余大学,4233050551,浙江省,
136,温州市工人业余大学,4233050554,浙江省,
137,宁波教育学院,4233050559,浙江省,
138,金华教育学院,4233050561,浙江省,
139,浙江省广播电视大学,4233051258,浙江省,
140,浙江经济管理职工大学,4233051259,浙江省,
141,浙江嘉兴教育学院,4233051814,浙江省,
142,宁波市广播电视大学,4233051885,浙江省,
143,淮南市职工大学,4234050565,安徽省,
144,合肥职工科技大学,4234050569,安徽省,
145,合肥市职工大学,4234050570,安徽省,
146,安徽经济管理干部学院,4234050581,安徽省,
147,宿州教育学院,4234051265,安徽省,
148,安徽广播电视大学,4234051388,安徽省,
149,福建教育学院,4235050591,福建省,
150,福建省广播电视大学,4235051270,福建省,
151,厦门市广播电视大学,4235051833,福建省,
152,江西行政管理干部学院,4236050151,江西省,
153,昌河职工工学院,4236050603,江西省,
154,南昌钢铁有限责任公司职工大学,4236050607,江西省,
155,南昌市业余大学,4236050616,江西省,
156,南昌市职工科技大学,4236050617,江西省,
157,江西广播电视大学,4236051281,江西省,
158,南昌教育学院,4236051283,江西省,
159,江西经济管理干部学院,4236051285,江西省,
160,山东省水利职工大学,4237050626,山东省,
161,山东兵器工业职工大学,4237050638,山东省,
162,新汶矿务局职工大学,4237050641,山东省,
163,济南市职工大学,4237050644,山东省,
164,山东省经济管理干部学院,4237050649,山东省,
165,山东省聊城教育学院,4237050661,山东省,
166,山东省济宁教育学院,4237050663,山东省,
167,山东省广播电视大学,4237051286,山东省,
168,兖州矿区职工大学,4237051777,山东省,
169,山东财政职工大学,4237051779,山东省,
170,青岛市广播电视大学,4237051858,山东省,
171,长城铝业公司职工工学院,4241050673,河南省,
172,郑州市职工大学,4241050674,河南省,
173,第一拖拉机制造厂拖拉机学院,4241050680,河南省,
174,洛阳轴承职工大学,4241050682,河南省,
175,洛阳有色金属职工大学,4241050686,河南省,
176,开封空分设备厂职工大学,4241050688,河南省,
177,平顶山教育学院,4241050709,河南省,
178,河南省广播电视大学,4241051287,河南省,
179,焦作职工医学院,4241051408,河南省,
180,磨料磨具工业职工大学,4241051411,河南省,
181,驻马店教育学院,4241051413,河南省,
182,武汉市广播电视大学,4242050046,湖北省,
183,湖北兵器工业职工大学,4242050717,湖北省,
184,湖北省纺织职工大学,4242050733,湖北省,
185,鄂城钢铁厂职工大学,4242050738,湖北省,
186,丹江口工程管理局职工大学,4242050740,湖北省,
187,湖北省直属机关业余大学,4242050742,湖北省,
188,湖北省经济管理干部学院,4242050756,湖北省,
189,十堰教育学院,4242050762,湖北省,
190,荆州教育学院,4242050763,湖北省,
191,大冶钢厂职工大学,4242051297,湖北省,
192,湖北广播电视大学,4242051305,湖北省,
193,武汉冶金管理干部学院,4242051773,湖北省,
194,湖北武汉公安管理干部学院,4242051774,湖北省,
195,华中电业联合职工大学,4242051862,湖北省,
196,涟源钢铁总厂职工大学,4243050774,湖南省,
197,株洲市职工大学,4243050788,湖南省,
198,湖南航空工业职工工学院,4243050793,湖南省,
199,中钢集团衡阳重机职工大学,4243050794,湖南省,
200,衡阳工业职工大学,4243050798,湖南省,
201,长沙教育学院,4243050810,湖南省,
202,湘潭教育学院,4243050812,湖南省,
203,湖南省广播电视大学,4243051306,湖南省,
204,益阳教育学院,4243051310,湖南省,
205,湖南金融技术职工大学,4243051766,湖南省,
206,湖南纺织职工大学,4243051767,湖南省,
207,长沙工业职工大学,4243050784,湖南省,
208,广州金桥管理干部学院,4244050075,广东省,
209,南海成人学院,4244050079,广东省,
210,湛江市业余大学,4244050821,广东省,
211,广东省国防工业职工大学,4244050826,广东省,
212,汕头市业余大学,4244050835,广东省,
213,韶关市职工大学,4244050837,广东省,
214,广州市公安管理干部学院,4244050855,广东省,
215,广东省公安司法管理干部学院,4244050859,广东省,
216,广东开放大学,4244051315,广东省,
217,广东新华教育学院,4244051317,广东省教育厅,民办
218,广东省职工体育运动技术学院,4244051319,广东省,
219,广东社会科学大学,4244051320,广东省,
220,广州市广播电视大学,4244051393,广东省,
221,深圳广播电视大学,4244051888,广东省,
222,桂林市职工大学,4245050867,广西壮族自治区,
223,广西壮族自治区经济管理干部学院,4245050869,广西壮族自治区,
224,广西教育学院,4245050870,广西壮族自治区,
225,广西壮族自治区广播电视大学,4245051338,广西壮族自治区,
226,广西政法管理干部学院,4245051340,广西壮族自治区,
227,南宁地区教育学院,4245051675,广西壮族自治区,
228,海南广播电视大学,4246051865,海南省,
229,重庆电力职工大学,4250050901,重庆市,
230,重庆冶金成人学院,4250050905,重庆市,
231,重庆职工会计专科学校,4250051759,重庆市,
232,重庆市广播电视大学,4250051866,重庆市,
233,四川科技职工大学,4251050081,四川省,
234,四川省东方动力职工大学,4251050875,四川省,
235,中国工程物理研究院职工工学院,4251050879,四川省,
236,四川核工业职工大学,4251050881,四川省,
237,成都飞机工业公司职工工学院,4251050883,四川省,
238,国营涪江机器厂职工大学,4251050885,四川省,
239,成都冶金职工大学,4251050907,四川省,
240,第五冶金建设公司职工大学,4251050908,四川省,
241,成都工业职工大学,4251050913,四川省,
242,四川省化工职工大学,4251050919,四川省,
243,中国科学院成都分院职工大学,4251050928,中国科学院,
244,广元职工医学院,4251050930,四川省,
245,南充市职工大学,4251050932,四川省,
246,四川广播电视大学,4251051341,四川省,
247,四川省职工运动技术学院,4251051351,四川省,
248,成都市职工大学,4251051758,四川省,
249,成都广播电视大学,4251051886,四川省,
250,贵州铝厂职工大学,4252050962,贵州省,
251,贵州机械工业职工大学,4252050965,贵州省,
252,贵州广播电视大学,4252051352,贵州省,
253,云南开放大学,4253051357,云南省,
254,南方电力职工大学,4253051361,云南省,
255,陕西航天职工大学,4261050083,陕西省,
256,西安航空职工大学,4261050989,陕西省,
257,西安飞机工业公司职工工学院,4261050990,陕西省,
258,陕西兵器工业职工大学,4261051001,陕西省,
259,西北电业职工大学,4261051002,陕西省,
260,西安铁路工程职工大学,4261051006,陕西省,
261,西安电力机械制造公司机电学院,4261051009,陕西省,
262,陕西省建筑工程总公司职工大学,4261051010,陕西省,
263,西安市职工大学,4261051017,陕西省,
264,宝鸡市职工大学,4261051018,陕西省,
265,西安外贸职工大学,4261051020,陕西省,
266,陕西省宝鸡教育学院,4261051027,陕西省,
267,陕西省广播电视大学,4261051370,陕西省,
268,陕西工运学院,4261051373,陕西省,
269,西安市广播电视大学,4261051871,陕西省,
270,兰州航空工业职工大学,4262051038,甘肃省,
271,兰州铁路工程职工大学,4262051039,甘肃省,
272,甘肃核工业职工大学,4262051040,甘肃省,
273,银光化学材料厂职工大学,4262051042,甘肃省,
274,甘肃广播电视大学,4262051374,甘肃省,
275,青海省联合职工大学,4263051049,青海省,
276,青海省广播电视大学,4263051382,青海省,
277,宁夏回族自治区广播电视大学,4264051383,宁夏回族自治区,
278,新疆生产建设兵团广播电视大学,4265051210,新疆生产建设兵团,
279,新疆维吾尔自治区广播电视大学,4265051387,新疆维吾尔自治区,
280,喀什教育学院,4265051594,新疆维吾尔自治区,
281,新疆生产建设兵团教育学院,4265051595,新疆生产建设兵团,
282,和田地区教育学院,4265051599,新疆维吾尔自治区,
283,阿克苏教育学院,4265051717,新疆生产建设兵团,
